grado	Quiz_Name	Class	Key	Question_Number	Primary_Answer	# Correct	% Correct	Discriminant Factor	Response 1	Response 1 %	Response 2	Response 2 %	Response 3	Response 3 %	Response 4	Response 4 %		Grado	Pregunta	Asignatura	Texto de la Pregunta	Opción A	Opción B	Opción C	Opción D
3	EVALUÁNDONOS 3 FINAL 2025	3-01, 3PJ, 3PU, 3S, 3Y	Primary Key 	11	B	48	67.61	0.332	B	67.61	A	23.94	D	4.23	C	4.23		4	1	MATEMÁTICAS 	Manuel vende fresas decoradas con chocolate en dos cajas diferentes:                                                                                                                                                                                                                                                                                      Manuel vendió 3 cajas pequeñas y 4 cajas grandes y realizó la siguiente operación para determinar el total de fresas que vendió: Total, de fresas que vendió = (3 × 4) + (4 × 6)  ¿Cuál de las siguientes operaciones es equivalente a la operación que realizó Manuel?	(3 + 4) × (4 + 6)	  4 × (3 + 6)	4 × (3 × 6)	(3 × 6) + (4 × 4) 
3	EVALUÁNDONOS 3 FINAL 2025	3-01, 3PJ, 3PU, 3S, 3Y	Primary Key 	12	B	62	87.32	0.318	B	87.32	A	5.63	C	2.82	D	1.41		4	2	MATEMÁTICAS 	En un colegio se organizó un torneo con 4 equipos, en dos rondas. La gráfica muestra resultados de la ronda 1 del torneo:  La tabla muestra los resultados de la ronda 2.  ¿Cuál equipo ganó más puntos en las dos rondas?	Equipo 1	Equipo 2 	Equipo 3	Equipo 4
3	EVALUÁNDONOS 3 FINAL 2025	3-01, 3PJ, 3PU, 3S, 3Y	Primary Key 	13	B	39	54.93	0.303	B	54.93	D	23.94	A	16.9	C	2.82		4	3	MATEMÁTICAS 	Un comerciante hizo compras y le preguntó al tendero cuánto dinero debía pagar. Observa la respuesta del tendero. ¿Cuánto dinero debe pagar el comerciante?	$ 865.000.	$ 8.650.	$ 806.050.	$ 86.050.
3	EVALUÁNDONOS 3 FINAL 2025	3-01, 3PJ, 3PU, 3S, 3Y	Primary Key 	14	D	65	91.55	0.599	D	91.55	B	4.23	C	1.41		1.41		4	4	MATEMÁTICAS 	Una empresa de regalos a domicilio envía cada regalo con 7 globos decorativos como los muestra la imagen: Para los pedidos que se deben entregar esta semana se necesitan 175 globos. ¿Cuántos pedidos debe entregar la empresa esta semana?	25	24	21	20
3	EVALUÁNDONOS 3 FINAL 2025	3-01, 3PJ, 3PU, 3S, 3Y	Primary Key 	15	D	66	92.96	0.532	D	92.96	C	4.23	B	1.41		1.41		4	5	MATEMÁTICAS 	En un supermercado se empacan frutas en cajas grandes y pequeñas. La imagen muestra la cantidad de bananos y de naranjas que se empacan en cada tipo de caja. Si se llenan completamente 3 cajas pequeñas y 6 cajas grandes, en total caben 87 frutas. [2 × 3 + 4 × 6]                   +           [5 × 3 + 7 × 6] = 87                Cantidad de bananos                   Cantidad de naranjas ¿Con cuál de las siguientes expresiones también es posible calcular correctamente ese total de frutas?	 [3 + (2 × 5)] + [6 + (4 × 7)]	[3 × ( 2 + 5)] + [6 × (4 + 7)]	 [3 × (2 + 4)] + [6 × (5 + 7)]	 [3 + 6] + [2 + 4 + 5 + 7]
3	EVALUÁNDONOS 3 FINAL 2025	3-01, 3PJ, 3PU, 3S, 3Y	Primary Key 	16	A	44	61.97	0.515	A	61.97	D	25.35	C	5.63		2.82		4	6	MATEMÁTICAS 	Juan quiere comprar 7 galletas y cada una vale $80. ¿Cuánto debe pagar Juan en total?	$ 560	$ 150	$ 87	$ 56
3	EVALUÁNDONOS 3 FINAL 2025	3-01, 3PJ, 3PU, 3S, 3Y	Primary Key 	17	D	52	73.24	0.219	D	73.24	A	22.54	B	1.41		1.41		4	7	MATEMÁTICAS 	Observa la cantidad de personas que asistieron cada día a un parque.     ¿Cuántas personas asistieron en total al parque estos dos días?	170 personas.	180 personas.	270 personas.	576 personas.
3	EVALUÁNDONOS 3 FINAL 2025	3-01, 3PJ, 3PU, 3S, 3Y	Primary Key 	18	A	42	59.15	0.231	A	59.15	B	21.13	D	9.86	C	7.04		4	8	MATEMÁTICAS 	En una cafetería se venden alimentos y bebidas. Este aviso muestra los precios de algunos productos.         Al comprar dos de los productos que aparecen en el aviso, Fabián pagó con un billete de $2.000 y le sobraron $100. ¿Qué productos compró?	Jugo y arepa 	Jugo y torta 	Gaseosa y arepa 	Gaseosa y torta
3	EVALUÁNDONOS 3 FINAL 2025	3-01, 3PJ, 3PU, 3S, 3Y	Primary Key 	19	D	53	74.65	0.536	D	74.65	A	12.68	B	7.04	C	4.23		4	9	MATEMÁTICAS 	Enrique acompaña a su padre a realizar compras en el mercado. En la sección de aseo, el padre de Enrique compra nueve unidades de jabón. Observa:          ¿Cuánto dinero paga el padre de Enrique por las nueve unidades de jabón?	$ 20,700	  $23.000	$ 19,800	 $22.700.
3	EVALUÁNDONOS 3 FINAL 2025	3-01, 3PJ, 3PU, 3S, 3Y	Primary Key 	20	C	43	60.56	0.433	C	60.56	B	25.35	A	7.04	D	5.63		4	10	MATEMÁTICAS 	Julián le puso un marco a un espejo, pero el espejo se rompió en dos pedazos. Observa.           ¿Cuál de las siguientes figuras corresponde al pedazo del espejo que se rompió?				
3	EVALUÁNDONOS 3 FINAL 2025	3-01, 3PJ, 3PU, 3S, 3Y	Primary Key 	21	C	47	66.2	0.42	C	66.2	A	23.94	D	5.63	B	2.82		5	1	MATEMÁTICAS 	En cada salón de un colegio se ubicará un kit de tres canecas de basura como el que se muestra en la imagen.       El rector sabe que en primaria hay 15 salones y en bachillerato hay 18 salones, por lo que propone la siguiente expresión para hallar el total de canecas que se necesitan para todos los salones:                                                     3 × (15 + 18) ¿De qué otra forma se puede calcular el total de canecas necesarias para todos los salones?	(3 + 15) × (3 + 18)	 (3 × 15) + (3 × 18)	 3 + 15 + 18	3 × 15 × 18
3	EVALUÁNDONOS 3 FINAL 2025	3-01, 3PJ, 3PU, 3S, 3Y	Primary Key 	22	B	60	84.51	0.581	B	84.51	A	7.04	C	4.23	D	2.82		5	2	MATEMÁTICAS 	Lina estudia un tipo de algas que crecen en el mar. Ella sabe que entre más profundas son las aguas, menos luz llega y por lo tanto menos algas pueden crecer. Lina hizo un recuento y encontró que a 50 m de profundidad hay 1.600 algas/ml. Si la cantidad de algas es inversamente proporcional a la profundidad del agua, ¿cuántas algas debería encontrar Lina a 200 m de profundidad?	6.400 algas/ml	1.450 algas/ml	400 algas/ml	150 algas/ml
3	EVALUÁNDONOS 3 FINAL 2025	3-01, 3PJ, 3PU, 3S, 3Y	Primary Key 	23	B	67	94.37	0.568	B	94.37	A	1.41	D	1.41	C	1.41		5	3	MATEMÁTICAS 	Nicol trabaja en la alcaldía de un pueblo y es la encargada de llevar el registro de la cantidad de personas que lo visitan en la época de fiestas. Ella construyó una tabla con el número de visitantes diarios. ¿En total cuántas personas visitaron el pueblo de Nicol en los tres días de fiestas?	5.035	3.946	3.935	1.965
3	EVALUÁNDONOS 3 FINAL 2025	3-01, 3PJ, 3PU, 3S, 3Y	Primary Key 	24	D	53	74.65	0.586	D	74.65	A	16.9	B	4.23	C	2.82		5	4	MATEMÁTICAS 	En clase de Geometría Nini tuvo en cuenta las equivalencias de la tabla y dibujó un gato usando diferentes polígonos. ¿Cuál es el área de la figura dibujada por Nini tomando como unidad de medida el triángulo 	 5 unidades triangulares.	10 unidades triangulares.	11 unidades triangulares.	16 unidades triangulares. 
3	EVALUÁNDONOS 3 FINAL 2025	3-01, 3PJ, 3PU, 3S, 3Y	Primary Key 	25	A	49	69.01	0.619	A	69.01	C	14.08	D	8.45	B	7.04		5	5	MATEMÁTICAS 	Manuel vende fresas decoradas con chocolate en dos cajas diferentes:                                                                                                                                                                                                                                                                                      Manuel vendió 3 cajas pequeñas y 4 cajas grandes y realizó la siguiente operación para determinar el total de fresas que vendió: Total, de fresas que vendió = (3 × 4) + (4 × 6)  ¿Cuál de las siguientes operaciones es equivalente a la operación que realizó Manuel?	(3 + 4) × (4 + 6)	  4 × (3 + 6)	4 × (3 × 6)	(3 × 6) + (4 × 4) 
3	EVALUÁNDONOS 3 FINAL 2025	3-01, 3PJ, 3PU, 3S, 3Y	Primary Key 	26	B	40	56.34	0.407	B	56.34	D	18.31	A	12.68	C	11.27		5	6	MATEMÁTICAS 	En un supermercado se empacan frutas en cajas grandes y pequeñas. La imagen muestra la cantidad de bananos y de naranjas que se empacan en cada tipo de caja. Si se llenan completamente 3 cajas pequeñas y 6 cajas grandes, en total caben 87 frutas. [2 × 3 + 4 × 6]                   +           [5 × 3 + 7 × 6] = 87                Cantidad de bananos                   Cantidad de naranjas ¿Con cuál de las siguientes expresiones también es posible calcular correctamente ese total de frutas?	 [3 + (2 × 5)] + [6 + (4 × 7)]	[3 × ( 2 + 5)] + [6 × (4 + 7)]	 [3 × (2 + 4)] + [6 × (5 + 7)]	
3	EVALUÁNDONOS 3 FINAL 2025	3-01, 3PJ, 3PU, 3S, 3Y	Primary Key 	27	B	48	67.61	0.615	B	67.61	C	25.35	D	4.23		1.41		5	7	MATEMÁTICAS 	Luisa tiene la siguiente ficha con forma de triángulo: Ella debe ubicar la ficha en alguno de los cuatro espacios triangulares que se muestran en el tablero de modo que coincida completamente: ¿En cuál espacio se debe ubicar la ficha?	En el espacio 1	En el espacio 2	En el espacio 3	En el espacio4
3	EVALUÁNDONOS 3 FINAL 2025	3-01, 3PJ, 3PU, 3S, 3Y	Primary Key 	28	A	46	64.79	0.597	A	64.79	B	22.54	D	5.63	C	5.63		5	8	MATEMÁTICAS 	En la actualidad muchas especies de animales están en peligro de extinción. Se calcula que cerca del 40 % de anfibios, el 25 % de los mamíferos, el 14 % de las aves y el 27 % de los crustáceos están en peligro de extinción. ¿Cuál de las siguientes gráficas muestra correctamente el porcentaje de cada especie que está en  peligro de extinción?				
3	EVALUÁNDONOS 3 FINAL 2025	3-01, 3PJ, 3PU, 3S, 3Y	Primary Key 	29	B	58	81.69	0.561	B	81.69	C	5.63	D	5.63	A	5.63		5	9	MATEMÁTICAS 	Emilia tiene un juego que consta de 48 fichas y debe repartirlas por igual entre todos los jugadores. La tabla muestra la cantidad de fichas que Emilia debe entregar a cada jugador de acuerdo con la cantidad de jugadores.        Si hay 8 jugadores, ¿cuántas fichas debe repartir Emilia a cada jugador?	10	8	6	4
3	EVALUÁNDONOS 3 FINAL 2025	3-01, 3PJ, 3PU, 3S, 3Y	Primary Key 	30	C	38	53.52	0.658	C	53.52	A	30.99	D	12.68	B	1.41		5	10	MATEMÁTICAS 	Mario conduce el camión de una empresa de lácteos. Para transportar las cajas de leche él las empaca en canastillas como se muestra en la imagen.      ¿Cuántas cajas de leche se necesitan para llenar completamente la canastilla?	7	10	13	20
3	EVALUÁNDONOS 3 FINAL 2025	3-01, 3PJ, 3PU, 3S, 3Y	Primary Key 	31	C	57	80.28	0.271	C	80.28	A	9.86	D	5.63	B	2.82		5	11	MATEMÁTICAS 	Un ciclista hizo el siguiente recorrido entre las calles de su barrio:                  ¿Cuál de los siguientes recorridos tiene la misma forma y tamaño?				
3	EVALUÁNDONOS 3 FINAL 2025	3-01, 3PJ, 3PU, 3S, 3Y	Primary Key 	32	A	57	80.28	0.544	A	80.28	C	9.86	B	5.63	D	2.82		5	12	MATEMÁTICAS 	En las olimpiadas escolares se premió con medalla de oro, plata y bronce a los tres jugadores que anotaron la mayor cantidad de goles.            De acuerdo con la información anterior, ¿cómo quedó la premiación?	 Oro: Mónica, Plata: Manuel, Bronce: David	Oro: Fabiana, Plata: Alejandra, Bronce: David	Oro: Manuel, Plata: Raúl, Bronce: Mateo	Oro: David, Plata: Fabiana, Bronce: Alejandra
3	EVALUÁNDONOS 3 FINAL 2025	3-01, 3PJ, 3PU, 3S, 3Y	Primary Key 	33	A	51	71.83	0.388	A	71.83	D	12.68	B	7.04	C	7.04		5	13	MATEMÁTICAS 	Observa el plan que tiene Eliana para leer un libro.            Si Eliana decide leer 40 páginas del libro cada día, ¿cuántos días tardaría en leer el libro completo?	5	25	3	10
3	EVALUÁNDONOS 3 FINAL 2025	3-01, 3PJ, 3PU, 3S, 3Y	Primary Key 	34	C	64	90.14	0.394	C	90.14	D	4.23	A	2.82		1.41		5	14	MATEMÁTICAS 	En la tienda de Doña Martha, se han recibido 12 cajas de jugos para surtir el estante. Cada caja contiene 24 jugos individuales. Si Doña Martha quiere organizar todos los jugos en 6 filas iguales en la nevera, ¿cuántos jugos debe poner en cada fila?	288 jugos	48 jugos	72 jugos	144 jugos
3	EVALUÁNDONOS 3 FINAL 2025	3-01, 3PJ, 3PU, 3S, 3Y	Primary Key 	35	D	62	87.32	0.563	D	87.32	A	7.04	C	2.82	B	1.41		5	15	MATEMÁTICAS 	Para la fiesta de despedida del grado quinto, los profesores compraron 450 dulces. Quieren armar bolsas de regalo que contengan 15 dulces cada una. Si cada bolsa se vende $2.500 pesos para recaudar fondos, ¿cuánto dinero obtendrán si venden todas las bolsas armadas?	$75.000 pesos	  $37.500 pesos. 	$1.125.000 pesos. 	$30.000 pesos.
3	EVALUÁNDONOS 3 FINAL 2025	3-01, 3PJ, 3PU, 3S, 3Y	Primary Key 	36	C	66	92.96	0.482	C	92.96	A	2.82	B	2.82		1.41		5	16	MATEMÁTICAS 	Un cine tiene 156 filas de asientos. Si en cada fila caben exactamente 112 personas, ¿cuál es la capacidad total del cine?	16.472	1.716	17.472	  15.600 
3	EVALUÁNDONOS 3 FINAL 2025	3-01, 3PJ, 3PU, 3S, 3Y	Primary Key 	37	B	62	87.32	0.247	B	87.32	A	7.04	D	4.23	C	1.41		5	17	MATEMÁTICAS 	André nació en Julio, si falta exactamente un mes para su cumpleaños número nueve. ¿Cuántos meses han transcurrido hasta el momento?	108	109	107	10
3	EVALUÁNDONOS 3 FINAL 2025	3-01, 3PJ, 3PU, 3S, 3Y	Primary Key 	38	C	65	91.55	0.364	C	91.55	B	2.82	A	2.82		1.41		5	18	MATEMÁTICAS 	Dos botellas de jugo cuestan $1.400 y cada botella cuesta lo mismo. ¿Cuánto cuestan 5 botellas de jugo?	3.500	3.000	1.500	1.400
3	EVALUÁNDONOS 3 FINAL 2025	3-01, 3PJ, 3PU, 3S, 3Y	Primary Key 	39	C	49	69.01	0.274	C	69.01	B	14.08	D	9.86	A	5.63		5	19	MATEMÁTICAS 	Observa en la figura la cantidad de dinero que se debe pagar en una tienda por 4 botellas de jugo.        ¿Cuánto se debería pagar por 7 botellas de jugo iguales a las de la figura?	3.500	4.900	16.000	19.600
3	EVALUÁNDONOS 3 FINAL 2025	3-01, 3PJ, 3PU, 3S, 3Y	Primary Key 	40	B	47	66.2	0.424	B	66.2	C	21.13	A	7.04	D	4.23		5	20	MATEMÁTICAS 	Usando fichas como las que se muestran, Eduardo armó la siguiente figura:             Si las fichas se pueden rotar, ¿cuántas fichas necesitó Eduardo para armar la figura sin que las fichas se sobrepongan?	21	10	8	7
3	EVALUÁNDONOS 3 FINAL 2025	3-01, 3PJ, 3PU, 3S, 3Y	Primary Key 	41	C	45	63.38	0.324	C	63.38	D	14.08	A	14.08	B	7.04		6	1	Matemáticas	En el sistema de numeración decimal, el valor de posición del dígito 7 en el número 475.210 es:	700	7,000	70,000	700,000
3	EVALUÁNDONOS 3 FINAL 2025	3-01, 3PJ, 3PU, 3S, 3Y	Primary Key 	42	C	49	69.01	0.325	C	69.01	A	14.08	D	9.86	B	5.63		6	2	Matemáticas	La descomposición aditiva correcta del número 508.402 es:	500.000 + 8.000 + 400 + 2	500.000 + 80.000 + 400 + 2	50.000 + 8.000 + 40 + 2	500.000 + 8.000 + 40 + 2
3	EVALUÁNDONOS 3 FINAL 2025	3-01, 3PJ, 3PU, 3S, 3Y	Primary Key 	43	B	65	91.55	0.221	B	91.55	C	4.23	D	2.82	A	1.41		6	3	Matemáticas	Si ordenamos de mayor a menor los números 12.045, 12.405, 12.504 y 12.054, el orden correcto es:	12.045 > 12.054 > 12.405 > 12.504	12.504 > 12.405 > 12.054 > 12.045	12.504 > 12.054 > 12.405 > 12.045	12.405 > 12.504 > 12.054 > 12.045
3	EVALUÁNDONOS 3 FINAL 2025	3-01, 3PJ, 3PU, 3S, 3Y	Primary Key 	44	A	56	78.87	0.285	A	78.87	B	7.04	D	7.04	C	5.63		6	4	Matemáticas	Camilo compró un televisor por $1.250.000 y una barra de sonido por $450.000. Si pagó con $2.000.000, ¿cuánto dinero recibió de cambio?	$ 250,000	$ 300,000	$ 350,000	$ 400,000
3	EVALUÁNDONOS 3 FINAL 2025	3-01, 3PJ, 3PU, 3S, 3Y	Primary Key 	45	D	51	71.83	0.336	D	71.83	C	11.27	A	11.27	B	4.23		6	5	Matemáticas	En una resta, si el minuendo es 15.400 y el sustraendo es 7.250, la diferencia es:	8,250	8,150	7,150	22,650
4	EVALUÁNDONOS 4 FINAL 2025	4-01, 4PJ, 4PU, 4S, 4Y	Primary Key 	1	C	60	86.96	0.339	C	86.96	D	10.14	B	1.45	A	1.45		6	6	Matemáticas	Una caja de colores contiene 24 unidades. Si un colegio compra 150 cajas para sus estudiantes, ¿cuántos colores compró en total?	3,200	3,400	3.60	3,800
4	EVALUÁNDONOS 4 FINAL 2025	4-01, 4PJ, 4PU, 4S, 4Y	Primary Key 	2	B	49	71.01	0.231	B	71.01	D	17.39	A	7.25	C	4.35		6	7	Matemáticas	Al dividir 4.500 entre 12, el cociente exacto es:	375	365	385	355
4	EVALUÁNDONOS 4 FINAL 2025	4-01, 4PJ, 4PU, 4S, 4Y	Primary Key 	3	B	54	78.26	0.489	B	78.26	A	10.14	C	7.25	D	4.35		6	8	Matemáticas	¿Cuál es el resultado de la siguiente operación combinada: 45 + 10 x 3 - 15?	150	60	70	50
4	EVALUÁNDONOS 4 FINAL 2025	4-01, 4PJ, 4PU, 4S, 4Y	Primary Key 	4	A	33	47.83	0.307	A	47.83	D	31.88	C	13.04	B	4.35		6	9	Matemáticas	En la I. E. Liceo Alejandro de Humboldt, las vacaciones de medio año empiezan el 15 de julio y terminan el 29 de julio. ¿Cuántos días duran las vacaciones?	10 días	15 días	14 días	20 días
4	EVALUÁNDONOS 4 FINAL 2025	4-01, 4PJ, 4PU, 4S, 4Y	Primary Key 	5	C	41	59.42	0.459	C	59.42	D	18.84	B	14.49	A	7.25		6	10	Matemáticas	Se quieren repartir 1.050 dulces en bolsas de 15 dulces cada una. ¿Cuántas bolsas se necesitan?	60	70	80	90
4	EVALUÁNDONOS 4 FINAL 2025	4-01, 4PJ, 4PU, 4S, 4Y	Primary Key 	6	D	28	40.58	0.207	A	46.38	D	40.58	C	7.25	B	5.8		6	11	Matemáticas	El número decimal 10 expresado en sistema binario es: 	1010	1100	1001	1111
4	EVALUÁNDONOS 4 FINAL 2025	4-01, 4PJ, 4PU, 4S, 4Y	Primary Key 	7	A	50	72.46	0.379	A	72.46	D	18.84	B	5.8	C	2.9		6	12	Matemáticas	Los números VII, MMMCCCXX, X, V, MCLXXV, corresponden a:	Sistema de numeración egipcia 	Sistema de numeración romano	Sistema de numeración binario 	Sistema de numeración decimal
4	EVALUÁNDONOS 4 FINAL 2025	4-01, 4PJ, 4PU, 4S, 4Y	Primary Key 	8	B	62	89.86	0.42	B	89.86	C	5.8	A	2.9	D	1.45		6	13	Matemáticas	El número que corresponde en este caso:   5.000.000 + 300.000 + 70.000 + 8.000 + 100 es:	537,000	3,570,000	5,378,100	3,571
4	EVALUÁNDONOS 4 FINAL 2025	4-01, 4PJ, 4PU, 4S, 4Y	Primary Key 	9	D	49	71.01	0.259	D	71.01	A	20.29	B	5.8	C	2.9		6	14	Geometría	Un ángulo que mide más de 0° pero menos de 90° recibe el nombre de:	Recto	Obtuso	Agudo	Llano
4	EVALUÁNDONOS 4 FINAL 2025	4-01, 4PJ, 4PU, 4S, 4Y	Primary Key 	10	B	35	50.72	0.401	B	50.72	A	34.78	D	11.59	C	2.9		6	15	Geometría	El instrumento que se utiliza para medir la amplitud de un ángulo en grados es:	El compás	La regla	El transportador	La escuadra
4	EVALUÁNDONOS 4 FINAL 2025	4-01, 4PJ, 4PU, 4S, 4Y	Primary Key 	11	C	46	66.67	0.013	C	66.67	A	26.09	B	5.8	D	1.45		6	16	Geometría	Un ángulo obtuso es aquel cuya medida es:	Exactamente 90°	Mayor a 90° y menor a 180°	. Exactamente 180°	Mayor a 180°
4	EVALUÁNDONOS 4 FINAL 2025	4-01, 4PJ, 4PU, 4S, 4Y	Primary Key 	12	A	59	85.51	0.26	A	85.51	C	5.8	D	4.35	B	4.35		6	17	Geometría	Un ángulo llano o plano mide:	50°	90°	150°	180°
4	EVALUÁNDONOS 4 FINAL 2025	4-01, 4PJ, 4PU, 4S, 4Y	Primary Key 	13	D	58	84.06	0.307	D	84.06	C	8.7	B	5.8	A	1.45		6	18	Estadística	El conjunto total de individuos u objetos sobre los que se desea realizar un estudio estadístico se denomina:	Muestra 	Variable 	Población 	Dato
4	EVALUÁNDONOS 4 FINAL 2025	4-01, 4PJ, 4PU, 4S, 4Y	Primary Key 	14	A	29	42.03	0.186	A	42.03	C	30.43	B	18.84	D	8.7		6	19	Estadística	Una compañía de celulares quiere lanzar un teléfono apropiado para estudiantes entre 12 y 16 años. Para ello realiza una encuesta entre los estudiantes de la Institución a quienes les pregunta ¿qué características debe tener dicho teléfono? La variable de estudio de la compañía de celulares es:	Número de celulares 	Características del celular	Número de estudiantes de la Institución	Marca del celular
4	EVALUÁNDONOS 4 FINAL 2025	4-01, 4PJ, 4PU, 4S, 4Y	Primary Key 	15	A	50	72.46	0.546	A	72.46	D	21.74	B	2.9	C	2.9		6	20	Estadística	Una muestra en estadística se define como:	El grupo completo de estudio	Una parte representativa de la población	El resultado final de una encuesta	El título de un gráfico
4	EVALUÁNDONOS 4 FINAL 2025	4-01, 4PJ, 4PU, 4S, 4Y	Primary Key 	16	B	56	81.16	0.488	B	81.16	A	11.59	C	7.25				8	1	Matemáticas	Al simplificar la fracción 120/180 hasta su mínima expresión, se obtiene:	12/18	6/9	2/3	1/2
4	EVALUÁNDONOS 4 FINAL 2025	4-01, 4PJ, 4PU, 4S, 4Y	Primary Key 	17	D	58	84.06	0.402	D	84.06	C	5.8	A	5.8	B	2.9		8	2	Matemáticas	El resultado de la operación 3/4 + 5/6 es:	8/10	19/12	15/24	9/12
4	EVALUÁNDONOS 4 FINAL 2025	4-01, 4PJ, 4PU, 4S, 4Y	Primary Key 	18	B	52	75.36	0.557	B	75.36	C	11.59	D	7.25	A	5.8		8	3	Matemáticas	Si un tanque de agua tiene una capacidad de 600 litros y está lleno hasta sus 3/5 partes, ¿cuántos litros le faltan para llenarse?	360 litros	240 litros	120 litros	400 litros
4	EVALUÁNDONOS 4 FINAL 2025	4-01, 4PJ, 4PU, 4S, 4Y	Primary Key 	19	B	62	89.86	0.45	B	89.86	A	7.25	C	1.45	D	1.45		8	4	Matemáticas	El producto de 7/3 × 2/5 es:	14/15	9/8	35/6	14/8
4	EVALUÁNDONOS 4 FINAL 2025	4-01, 4PJ, 4PU, 4S, 4Y	Primary Key 	20	A	55	79.71	0.517	A	79.71	D	8.7	B	5.8	C	5.8		8	5	Matemáticas	Al dividir 4/9 ÷ 2/3 el cociente resultante es:	8/27	12/18 que equivale a 2/3	6/12	3/2
